幣別,現今本行買入,現今本行賣出,即期匯率-本行買入, 即期匯率-本行賣出,歷史-幣別,歷史-現今本行買入,歷史-現今本行賣出,歷史-即期匯率-本行買入, 歷史-即期匯率-本行賣出
"美金 (USD)
                            

                                美金 (USD)",31.89,32.56,32.215,32.365,"美金 (USD)
                                

                                    美金 (USD)",31.895,32.565,32.245,32.345
"港幣 (HKD)
                            

                                港幣 (HKD)",3.964,4.168,4.085,4.155,"港幣 (HKD)
                                

                                    港幣 (HKD)",3.964,4.168,4.09,4.15
"英鎊 (GBP)
                            

                                英鎊 (GBP)",39.02,41.14,39.915,40.545,"英鎊 (GBP)
                                

                                    英鎊 (GBP)",39.24,41.36,40.25,40.65
"澳幣 (AUD)
                            

                                澳幣 (AUD)",20.49,21.27,20.705,21.05,"澳幣 (AUD)
                                

                                    澳幣 (AUD)",20.66,21.44,20.95,21.15
"加拿大幣 (CAD)
                            

                                加拿大幣 (CAD)",22.96,23.87,23.29,23.62,"加拿大幣 (CAD)
                                

                                    加拿大幣 (CAD)",23.04,23.95,23.44,23.64
"新加坡幣 (SGD)
                            

                                新加坡幣 (SGD)",23.14,24.05,23.61,23.83,"新加坡幣 (SGD)
                                

                                    新加坡幣 (SGD)",23.23,24.14,23.72,23.9
"瑞士法郎 (CHF)
                            

                                瑞士法郎 (CHF)",34.52,35.72,35.13,35.52,"瑞士法郎 (CHF)
                                

                                    瑞士法郎 (CHF)",34.58,35.78,35.26,35.51
"日圓 (JPY)
                            

                                日圓 (JPY)",0.2015,0.2143,0.2083,0.2133,"日圓 (JPY)
                                

                                    日圓 (JPY)",0.2015,0.2143,0.2088,0.2128
"南非幣 (ZAR)
                            

                                南非幣 (ZAR)",-,-,1.667,1.757,"南非幣 (ZAR)
                                

                                    南非幣 (ZAR)",-,-,1.69,1.77
"瑞典幣 (SEK)
                            

                                瑞典幣 (SEK)",2.58,3.1,2.91,3.03,"瑞典幣 (SEK)
                                

                                    瑞典幣 (SEK)",2.61,3.13,2.95,3.05
"紐元 (NZD)
                            

                                紐元 (NZD)",18.69,19.54,19.02,19.32,"紐元 (NZD)
                                

                                    紐元 (NZD)",18.85,19.7,19.23,19.43
"泰幣 (THB)
                            

                                泰幣 (THB)",0.7558,0.9458,0.8652,0.9112,"泰幣 (THB)
                                

                                    泰幣 (THB)",0.7599,0.9499,0.8723,0.9123
"菲國比索 (PHP)
                            

                                菲國比索 (PHP)",0.5045,0.6365,-,-,"菲國比索 (PHP)
                                

                                    菲國比索 (PHP)",0.5053,0.6373,-,-
"印尼幣 (IDR)
                            

                                印尼幣 (IDR)",0.00168,0.00238,-,-,"印尼幣 (IDR)
                                

                                    印尼幣 (IDR)",0.00168,0.00238,-,-
"歐元 (EUR)
                            

                                歐元 (EUR)",33.56,34.9,34.075,34.675,"歐元 (EUR)
                                

                                    歐元 (EUR)",33.69,35.03,34.31,34.71
"韓元 (KRW)
                            

                                韓元 (KRW)",0.02165,0.02555,-,-,"韓元 (KRW)
                                

                                    韓元 (KRW)",0.0217,0.0256,-,-
"越南盾 (VND)
                            

                                越南盾 (VND)",0.00105,0.00146,-,-,"越南盾 (VND)
                                

                                    越南盾 (VND)",0.00107,0.00148,-,-
"馬來幣 (MYR)
                            

                                馬來幣 (MYR)",5.729,7.249,-,-,"馬來幣 (MYR)
                                

                                    馬來幣 (MYR)",5.73,7.25,-,-
"人民幣 (CNY)
                            

                                人民幣 (CNY)",4.348,4.51,4.415,4.475,"人民幣 (CNY)
                                

                                    人民幣 (CNY)",4.351,4.513,4.423,4.473
